num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,ci,bs_degree,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,EQ,H1,3,fixmodel_cal,0.8332,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,EQ,H1,3,splines,0.8364,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,EQ,H1,3,splines_cal,0.8339,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,fixmodel,0.8359,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,fixmodel_cal,0.8353,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,splines,0.8389,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,splines_cal,0.8362,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,fixmodel,0.8256,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,fixmodel_cal,0.8249,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,splines,0.8331,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,splines_cal,0.827,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,fixmodel,0.8332,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,fixmodel_cal,0.8328,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,splines,0.8364,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,splines_cal,0.8319,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,fixmodel,0.8439,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,fixmodel_cal,0.8441,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,splines,0.8487,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,splines_cal,0.8443,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,fixmodel,0.8231,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,fixmodel_cal,0.8268,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,splines,0.8285,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,2,splines_cal,0.8256,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,fixmodel,0.8314,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,fixmodel_cal,0.8319,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,splines,0.8321,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,3,splines_cal,0.8321,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,4,fixmodel,0.841,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,4,fixmodel_cal,0.8399,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,4,splines,0.8459,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,2,EQ,H1,4,splines_cal,0.8414,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,2,fixmodel,0.8241,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,2,fixmodel_cal,0.8227,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,2,splines,0.8263,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,2,splines_cal,0.8254,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,3,fixmodel,0.8314,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,3,fixmodel_cal,0.8303,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,3,splines,0.8311,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,3,splines_cal,0.8307,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,fixmodel,0.83,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,fixmodel_cal,0.8295,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,splines,0.8336,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.375,-0.375,-0.375,-0.375,-0.375,linear,0.025,TRUE,25,FALSE,3,EQ,H1,4,splines_cal,0.8293,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,fixmodel,0.8198,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,fixmodel_cal,0.8223,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,splines,0.8273,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,2,splines_cal,0.8239,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,fixmodel,0.832,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,fixmodel_cal,0.8355,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,splines,0.8366,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,3,splines_cal,0.836,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,fixmodel,0.8332,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,fixmodel_cal,0.8314,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,splines,0.8363,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,linear,0.025,TRUE,25,FALSE,1,EQ,H1,4,splines_cal,0.8349,0,10000
