num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,ci,bs_degree,poly_degree,n_wave,N_peak,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,3,fixmodel,0.8363,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,3,fixmodel_cal,0.8357,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,3,mixmodel_AR1_cal,0.9422,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,3,mixmodel_cal,0.9494,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,3,piecewise_cal,0.7981,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,3,sepmodel,0.7974,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,3,splines_cal,0.8371,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,4,fixmodel,0.8329,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,4,fixmodel_cal,0.8305,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,4,mixmodel_AR1_cal,0.9519,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,4,mixmodel_cal,0.9622,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,4,piecewise_cal,0.7975,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,4,sepmodel,0.7964,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,4,splines_cal,0.8337,0,10000
