num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,ci,bs_degree,poly_degree,n_wave,N_peak,timetrend,hypothesis,study_arm,model,reject_h0,bias,MSE,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,4,splines_cal,0.026,-0.0012369267862131265,0.0068995948581974656,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,fixmodel,0.025,-9.906415790053769e-4,0.006753398648303655,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,fixmodel_cal,0.024,-0.0010104319197661064,0.006723732242502566,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,poolmodel,0.001,-0.10966102316362081,0.018011829971247038,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,sepmodel,0.02,-0.0013194110393157708,0.007607170357515158,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,splines,0.026,-9.644176659279998e-4,0.0067451856606138595,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,5,splines_cal,0.026,-0.0010747319719353096,0.006696332419460983,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,fixmodel,0.016,-8.114479892570916e-4,0.006503483009684862,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,fixmodel_cal,0.02,-5.170144232203702e-4,0.006602751069583574,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,poolmodel,0,-0.14172268571093666,0.025927912660126097,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,sepmodel,0.021,-1.232187952934089e-4,0.0073827010372308575,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,splines,0.019,-7.908690228235391e-4,0.006521420138374313,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,6,splines_cal,0.017,-9.263789189077542e-4,0.006568472466690597,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,fixmodel,0.027,-0.002608384118496731,0.007015398910368146,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,fixmodel_cal,0.026,-0.0023784967472756944,0.007055329089117951,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,poolmodel,0,-0.14351962184017636,0.02681210630818057,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,sepmodel,0.024,-0.0019201549245331,0.007695394659576637,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,splines,0.026,-0.002587813336698298,0.007011129066614163,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,1,NA,914,EQ,H0,7,splines_cal,0.026,-0.0027738663514832117,0.007029434035454152,0,1000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,2,NA,914,EQ,H0,2,fixmodel,0.032,0.0017346010483620278,0.007685569412418084,0,1000
