num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,bs_degree,study_arm,model,reject_h0,bias,MSE,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,6,fixmodel,0.0274,9.224259575081908e-5,0.007116436428296536,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,6,poolmodel,0.0069,-0.04240191109988862,0.007923728250519005,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,6,sepmodel,0.0276,2.3799154537938684e-4,0.00803783762611766,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,6,splines,0.0264,7.269508334528382e-5,0.00705984071386702,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,6,splines_cal,0.0275,4.78469635412676e-5,0.007131237806549248,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,7,fixmodel,0.0234,6.243125687305488e-5,0.007070018832528902,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,7,poolmodel,0.007,-0.042431722438766396,0.00793550898349068,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,7,sepmodel,0.022,2.0818020650159848e-4,0.007996837270957367,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,7,splines,0.0229,4.3157725791872654e-5,0.007007833376364851,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,7,splines_cal,0.0227,6.46173256411124e-5,0.007069645642507612,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,2,fixmodel,0.0238,-8.21792874418714e-4,0.0072573328207350156,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,2,poolmodel,0.0145,-0.015069481012334792,0.006675047450981634,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,2,sepmodel,0.0219,-0.0010068257528436139,0.007764614851503835,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,2,splines,0.0232,-9.35953599418978e-4,0.0071541542097689394,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,2,splines_cal,0.0235,-6.224267562418749e-4,0.0072366634763371225,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,3,fixmodel,0.0219,-2.557116547208215e-4,0.007323603846238512,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,3,poolmodel,0.0149,-0.014503399792636977,0.006723028666591021,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,3,sepmodel,0.0232,-4.4074453314579197e-4,0.007814828315990886,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,3,splines,0.0225,-3.698407023059763e-4,0.007217734607705256,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,3,splines_cal,0.0216,-1.1877312913594594e-4,0.007287658669338619,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,4,fixmodel,0.0236,8.315075569934235e-4,0.007122559343755692,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,4,poolmodel,0.0109,-0.024230856052820892,0.006795968551085615,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,4,sepmodel,0.0248,0.0014027470775641623,0.007868580119075975,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,4,splines,0.0231,7.930590859014953e-4,0.007067198320289674,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,4,splines_cal,0.0243,9.872633084306297e-4,0.0070923060205352806,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,5,fixmodel,0.025,2.7293165030619346e-4,0.007125694547183679,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,5,poolmodel,0.0108,-0.024789431959508113,0.006839669203130842,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,5,sepmodel,0.0233,8.441711708769393e-4,0.007846699453154086,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,5,splines,0.0252,2.3665791355031627e-4,0.007063321857973119,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,5,splines_cal,0.0251,3.337594701609914e-4,0.007105584734780729,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,TRUE,25,3,6,fixmodel,0.0219,-8.098006551182211e-4,0.006996529307845331,0,10000
