num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel,0.0525,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1,0.0572,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1_cal,0.0557,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_cal,0.0581,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.0632,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0267,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0263,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0266,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel,0.0679,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1,0.0748,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1_cal,0.0724,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_cal,0.0766,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.0859,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0288,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0231,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0236,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0356,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0391,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0363,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.0359,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0402,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.025,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0254,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0253,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel,0.0488,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1,0.0552,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1_cal,0.0481,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_cal,0.0477,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.0606,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0244,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0268,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0268,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel,0.0688,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1,0.0756,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1_cal,0.0746,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_cal,0.075,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.0854,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0267,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0267,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0257,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0371,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0396,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0344,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.033,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.042,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0283,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0269,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0286,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel,0.0503,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1,0.0566,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1_cal,0.0571,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_cal,0.0564,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.0644,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0261,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0225,0,10000
4,250,0,250,500,750,139,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.023,0,10000
