num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8371,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.8405,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,mixmodel,0.9282,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,mixmodel_AR1,0.9361,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,mixmodel_AR1_cal,0.9387,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,mixmodel_cal,0.9462,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9509,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8029,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8386,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.8402,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,mixmodel,0.9439,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,mixmodel_AR1,0.9497,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,mixmodel_AR1_cal,0.9499,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,mixmodel_cal,0.9629,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,poolmodel,0.9678,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,sepmodel,0.7991,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8285,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.8403,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,mixmodel,0.8881,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,mixmodel_AR1,0.8971,0,10000
4,250,0,250,500,750,98,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,mixmodel_AR1_cal,0.9009,0,10000
