num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0
4,1000,0,1000,2000,3000,1436,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0254
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0247
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0279
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0603
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0254
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0244
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0246
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.1331
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0239
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0261
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0411
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.2148
4,1000,0,1000,2000,3000,2104,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0258
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0274
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0299
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0665
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0261
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0265
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0486
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.1336
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0255
4,1000,0,1000,2000,3000,2772,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0255
