num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,ci,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_AR1_cal,0.7498,-0.029899595946013675,0.008255179928582526,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_cal,0.6915,-0.04731986328553974,0.009088145574548187,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,sepmodel,0.7956,2.896088248684639e-4,0.00806144938794821,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,fixmodel,0.8323,-4.3689380392831513e-4,0.007320603378051513,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel,0.73,-0.036102753916519154,0.008905066256834513,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1,0.7205,-0.038249811743698944,0.009394959666701381,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1_cal,0.7334,-0.036074350684204816,0.0091034363693953,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_cal,0.5369,-0.08605892104748951,0.013962133847301186,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,sepmodel,0.7995,-2.9794487695329364e-4,0.00802907967139745,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,fixmodel,0.834,-2.3104245684949488e-4,0.007236871850889887,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel,0.6932,-0.04438762427692073,0.009786203840973357,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1,0.7191,-0.03743982595568352,0.009416663799033302,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1_cal,0.7213,-0.0369183484343687,0.009367930539016824,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_cal,0.4125,-0.11354704587522903,0.019508470655283043,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,sepmodel,0.7955,-1.917977944286651e-4,0.008035296952935806,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,fixmodel,0.8203,-0.0012361346620412606,0.007524881572341097,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel,0.7558,-0.025084931931367183,0.008078333721480473,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1,0.7403,-0.031789126285212646,0.008454916535060421,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1_cal,0.7832,-0.02423259720071149,0.007665455267549801,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_cal,0.7495,-0.03352832897538813,0.007983997292982742,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,sepmodel,0.7907,-0.0010053205985777597,0.008111350900401904,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,fixmodel,0.822,-7.379359746832531e-4,0.007502721381905285,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel,0.7137,-0.03613106787963263,0.009076452244223552,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1,0.7078,-0.038065882401513144,0.009551051435707659,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_AR1_cal,0.7218,-0.0358602812196231,0.009189250874129765,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel_cal,0.6079,-0.06751296083370138,0.011792014923901823,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,sepmodel,0.7898,-5.180918742665606e-4,0.008265502456838766,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,fixmodel,0.8377,6.703249052844414e-4,0.007205339152558991,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel,0.6965,-0.0433253086853209,0.009652628808285527,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,4,mixmodel_AR1,0.7227,-0.03634118822546397,0.009322878000785595,0,10000
